#,Time,Layers-Count,Optimizer,Fin-Test-Loss,Fin-Test-Acc,Shift-Test-Loss,Shift-Test-Acc
m2,13:42:39,13,Adam,0.039988696575164795,0.9883999824523926,0.5211809277534485,0.871399998664856
m2,13:38:55,13,Adam,0.0377502180635929,0.9890999794006348,0.5207005739212036,0.8671000003814697
m2,13:35:29,13,Adam,0.0368113182485103,0.9901000261306764,0.5892053842544556,0.8737999796867371
m2,13:32:03,13,Adam,0.0423469468951225,0.9879000186920166,0.5939480066299438,0.8555999994277954
m2,13:28:39,13,Adam,0.0402248352766037,0.9901999831199646,0.6003069877624512,0.8671000003814697
m2,13:25:15,13,Adam,0.0386011451482772,0.9894999861717224,0.5397979021072388,0.8565000295639038
m2,13:21:49,13,Adam,0.0403624065220356,0.9901000261306764,0.5771578550338745,0.8784999847412109
m2,13:18:21,13,Adam,0.0428538061678409,0.9886000156402588,0.5498769879341125,0.8704000115394592
m1,13:14:53,13,Adam,0.0350858010351657,0.9883999824523926,0.3421929180622101,0.8981999754905701
m1,13:09:23,13,Adam,0.0286893155425786,0.993499994277954,0.3455197215080261,0.9307000041007996
m1,13:03:49,13,Adam,0.0350265726447105,0.9904000163078308,0.365901231765747,0.9135000109672546
m1,12:58:04,13,Adam,0.0276340786367654,0.9914000034332277,0.3085791766643524,0.9107999801635742
m1,12:52:16,13,Adam,0.0307729430496692,0.9896000027656556,0.386802613735199,0.8896999955177307
m1,12:46:30,13,Adam,0.0269374717026948,0.9918000102043152,0.3186891376972198,0.9178000092506408
m1,12:40:41,13,Adam,0.0273672919720411,0.9922000169754028,0.3280551731586456,0.910700023174286
m1,12:34:49,13,Adam,0.0238680150359869,0.9922000169754028,0.2593021988868713,0.9323999881744384
m1,12:28:58,13,Adam,0.0239417552947998,0.9922999739646912,0.2928138375282287,0.9199000000953674
m1,12:23:07,13,Adam,0.0279960446059703,0.9908000230789183,0.3061062395572662,0.9034000039100648
